"","X29","X29.1","X29.2","X25","X29.3","X25.1","X26","X21","X29.4","X21.1","X21.2","X21.3","X29.5","X29.6","X29.7","X21.4","X21.5","X25.2","X21.6","X24","X29.8","DOC.CLASS"
"52",41,41,41,39,41,40,39,34,41,37,37,37,41,41,41,37,37,39,34,40,41,"tabloid"
"53",13,13,13,13,13,12,12,11,13,10,10,9,13,13,13,10,9,13,11,11,12,"tabloid"
"54",16,14,16,13,14,14,12,15,16,11,11,9,14,14,14,11,9,13,15,14,11,"tabloid"
"55",21,17,21,19,20,18,19,15,21,17,17,17,16,16,17,17,17,19,15,18,18,"tabloid"
"56",20,20,20,19,20,16,15,16,20,18,18,7,19,19,20,18,7,19,16,16,9,"tabloid"
"57",17,17,17,15,17,13,16,13,16,14,14,12,17,17,17,14,12,14,13,13,13,"tabloid"
"58",23,21,23,19,21,19,20,15,22,18,18,16,20,20,21,18,16,19,15,19,17,"tabloid"
"59",30,28,29,21,29,13,17,21,30,26,26,25,27,27,28,26,25,20,21,13,26,"tabloid"
"60",22,21,22,20,21,17,17,20,22,19,19,16,21,21,21,19,16,20,20,17,17,"tabloid"
"61",29,28,29,26,28,24,23,22,28,26,26,26,28,28,28,26,26,26,22,23,27,"tabloid"
"62",23,23,23,19,23,19,20,18,22,17,16,15,21,21,23,17,16,19,18,18,20,"tabloid"
"63",40,39,39,35,39,30,32,35,40,35,35,30,38,38,39,35,30,35,35,30,32,"tabloid"
"64",25,20,25,18,21,19,19,16,25,18,18,14,19,19,20,18,14,18,16,19,16,"tabloid"
"65",33,33,33,25,33,21,23,13,33,31,31,31,33,33,33,31,31,25,13,21,33,"tabloid"
"66",18,18,18,18,18,18,18,18,18,15,15,15,18,18,18,15,15,18,18,16,18,"tabloid"
"67",20,19,20,20,19,17,17,16,20,18,18,16,18,18,19,18,16,20,16,17,17,"tabloid"
"68",17,17,17,15,17,14,14,12,17,16,16,14,15,15,17,16,14,15,11,13,15,"tabloid"
"69",26,26,26,20,26,20,20,21,26,24,24,24,24,24,26,24,24,20,21,20,25,"tabloid"
"70",92,87,92,78,91,72,77,74,92,71,69,66,83,83,87,69,66,77,73,72,77,"tabloid"
"71",24,21,24,18,22,19,19,21,24,18,18,15,21,21,21,18,15,18,21,19,17,"tabloid"
"72",23,22,23,18,23,16,16,18,23,20,20,19,22,22,22,20,19,18,18,16,21,"tabloid"
"73",22,21,22,21,21,19,19,20,22,20,20,20,21,21,21,20,20,21,20,19,21,"tabloid"
"74",24,24,24,21,24,18,19,17,24,17,17,13,22,22,24,17,13,21,17,18,17,"tabloid"
"75",37,36,37,26,36,28,28,28,37,34,34,31,35,35,36,34,31,26,28,27,32,"tabloid"
"76",18,18,18,14,18,10,11,15,18,13,13,12,17,17,18,14,13,14,15,10,15,"tabloid"
"77",26,24,26,20,24,21,22,22,26,23,23,16,24,24,24,23,16,20,22,21,16,"tabloid"
"78",17,17,17,14,17,14,14,11,17,15,15,15,17,17,17,15,15,14,11,13,17,"tabloid"
"79",13,13,13,13,13,12,13,13,13,12,12,12,13,13,13,12,12,13,13,12,13,"tabloid"
"80",21,19,21,18,20,13,16,16,21,17,17,13,18,18,19,17,13,18,16,13,13,"tabloid"
"81",46,46,46,35,45,27,28,33,46,38,37,29,42,41,45,37,29,35,33,25,33,"tabloid"
"82",14,14,14,12,14,12,12,13,13,11,11,10,14,14,14,11,10,12,13,12,11,"tabloid"
"83",18,18,18,16,18,15,15,17,18,11,11,8,17,17,18,11,8,16,17,15,14,"tabloid"
"84",45,44,45,39,43,30,33,32,44,39,38,36,43,42,43,38,36,39,32,29,40,"tabloid"
"85",14,14,14,14,14,13,14,10,14,13,13,13,14,14,14,13,13,14,10,13,14,"tabloid"
"86",20,19,20,17,20,15,17,17,19,19,18,16,18,18,19,18,16,17,17,15,16,"tabloid"
"87",27,26,27,23,27,22,22,20,27,23,23,18,26,26,26,23,18,23,20,21,21,"tabloid"
"88",10,10,10,9,10,9,9,9,10,8,8,8,10,10,10,9,9,9,9,9,10,"tabloid"
"89",11,11,11,9,11,11,11,10,10,9,7,6,10,10,11,7,6,9,10,11,8,"tabloid"
"90",19,17,19,15,19,13,13,15,19,15,15,15,16,16,17,15,15,15,15,13,15,"tabloid"
"91",44,42,44,35,42,29,31,31,44,38,36,30,42,42,42,36,30,35,31,26,34,"tabloid"
"92",35,34,35,30,34,27,28,30,35,31,31,30,32,32,34,31,30,30,30,26,32,"tabloid"
"93",17,17,17,17,17,17,17,16,17,14,14,14,17,17,17,14,14,17,16,17,16,"tabloid"
"94",30,27,30,25,28,24,25,23,30,24,24,24,23,23,27,24,24,25,23,24,26,"tabloid"
"95",13,13,13,12,13,13,13,13,13,12,12,12,13,13,13,12,12,12,13,13,12,"tabloid"
"96",62,55,61,43,56,41,43,37,62,34,30,27,50,50,55,31,28,43,37,38,42,"tabloid"
"97",15,14,15,14,14,14,13,14,15,14,14,12,14,14,14,14,12,14,14,14,12,"tabloid"
"98",21,19,21,19,19,16,17,18,21,16,16,14,18,18,19,16,14,19,18,16,14,"tabloid"
"99",12,11,12,11,11,10,11,11,12,10,10,10,11,11,11,10,10,11,11,10,11,"tabloid"
"100",24,24,24,22,24,15,17,19,24,16,14,10,23,23,24,14,10,22,18,14,16,"tabloid"
"101",13,11,13,11,11,10,13,11,13,10,10,10,11,11,11,10,10,11,11,10,11,"tabloid"
"102",13,11,13,11,12,12,12,9,13,9,9,7,11,11,11,9,7,11,9,12,9,"tabloid"
"103",17,16,17,15,16,13,13,14,17,15,15,12,14,14,16,15,12,15,14,13,12,"tabloid"
"104",36,35,36,36,34,29,31,27,36,31,31,19,34,33,34,31,19,36,27,27,22,"tabloid"
"105",18,17,18,17,18,17,17,15,17,13,12,12,16,16,17,12,12,17,15,17,16,"tabloid"
"106",13,13,13,13,13,10,10,13,13,11,11,9,13,13,13,11,9,13,13,10,10,"tabloid"
"107",16,16,16,15,16,12,13,9,16,13,13,13,16,16,16,13,13,15,9,12,16,"tabloid"
"108",23,22,23,19,22,18,19,19,22,19,18,16,21,21,22,18,16,18,19,18,17,"tabloid"
"109",13,12,13,13,13,12,12,13,13,9,9,9,12,12,12,9,9,13,13,12,12,"tabloid"
"110",32,31,32,26,32,23,24,23,31,30,29,24,28,28,31,29,24,26,23,22,24,"tabloid"
"111",18,18,18,17,18,14,14,17,18,15,15,13,16,16,18,15,13,17,17,13,15,"tabloid"
"112",19,17,19,17,18,15,12,13,19,16,16,16,15,15,17,16,16,17,13,15,18,"tabloid"
"113",32,31,31,28,31,25,25,22,32,23,23,21,31,31,31,23,21,28,21,24,28,"tabloid"
"114",19,16,19,14,16,12,13,13,19,14,14,10,15,15,16,14,10,14,13,12,10,"tabloid"
"115",19,18,19,16,18,14,16,16,19,16,16,16,18,18,18,16,16,16,16,13,18,"tabloid"
"116",18,17,18,14,17,13,14,12,18,13,13,10,14,14,17,13,10,14,12,13,11,"tabloid"
"117",19,19,19,15,19,16,17,17,19,17,17,15,19,19,19,17,15,15,17,16,16,"tabloid"
"118",12,11,12,10,11,9,9,12,11,9,8,8,10,10,11,8,8,10,12,9,10,"tabloid"
"119",20,20,20,20,20,18,19,20,20,18,18,17,20,20,20,18,17,20,20,18,19,"tabloid"
"120",14,14,14,11,14,12,11,8,14,11,11,10,14,14,14,11,10,11,8,11,11,"tabloid"
"121",13,12,13,11,13,10,10,10,13,11,11,7,12,12,12,11,7,11,10,10,9,"tabloid"
"122",13,10,12,9,10,9,9,9,13,7,7,3,9,9,10,7,3,9,8,9,5,"tabloid"
"123",22,22,22,21,22,20,20,16,22,20,20,20,21,21,22,20,20,21,16,20,21,"tabloid"
